,index,policy,item_util,max_envy,imp_in_item_util
334,9,NSW (0.0),8.35942579912097e-06,0.06367867279841975,0.00038453358675956465
335,10,NSW (0.0),3.992274237488131e-06,0.06873977523040489,0.00018364461492445403
336,11,NSW (0.0),7.2505075443514066e-06,0.06367978171667452,0.00033352334704016474
337,12,NSW (0.0),4.9913850237081676e-06,0.06873877611961868,0.0002296037110905757
338,13,NSW (0.0),8.488905019036183e-06,0.06367854331919984,0.0003904896308756644
339,14,NSW (0.0),5.029277670189363e-06,0.06873873822697218,0.0002313467728287107
340,15,NSW (0.0),0.04246689447432193,0.02628537850883713,0.9767385729094044
341,16,NSW (0.0),4.913021840060832e-06,0.06873885448280231,0.00022599900464279827
342,17,NSW (0.0),0.0,0.06874376750464238,0.0
343,18,NSW (0.0),0.06874376750464238,0.0,3.1622133052135495
344,19,NSW (0.0),6.065504086784958e-06,0.06368096672013208,0.00027901318799210804
345,20,NSW (0.0),0.04245624655175762,0.026296026431401436,0.9764936706904254
346,21,NSW (0.0),0.045438995010824434,0.023304772493817946,2.090193770497924
347,22,NSW (0.0),9.9065830648901e-06,0.06367712564115398,0.0004557028209849446
348,0,Max,0.0,0.5,0.0
349,1,Max,0.0,0.5,0.0
350,2,Max,0.0,0.5,0.0
351,3,Max,0.0,0.5,0.0
352,4,Max,0.0,0.5,0.0
353,5,Max,0.0,0.5,0.0
354,6,Max,0.0,0.5,0.0
355,7,Max,0.0,0.5,0.0
356,8,Max,0.0,0.5,0.0
357,9,Max,0.0,0.5,0.0
358,10,Max,0.0,0.5,0.0
359,11,Max,0.0,0.5,0.0
360,12,Max,0.0,0.5,0.0
361,13,Max,0.0,0.5,0.0
362,14,Max,0.0,0.5,0.0
363,15,Max,0.0,0.5,0.0
364,0,Expo-Fair,0.009308383544690666,0.21297013393108846,0.2978682734301013
365,1,Expo-Fair,1.8351394926410105e-06,0.22773938107140984,5.8724463764512337e-05
366,2,Expo-Fair,0.0011415674169307935,0.22659964879397168,0.018265078670892696
367,3,Expo-Fair,0.0,0.22227851747577912,0.0
368,4,Expo-Fair,0.009310218684183308,0.21843099752671918,0.14896349894693292
369,5,Expo-Fair,0.0,0.22227851747577912,0.0
370,6,Expo-Fair,0.011706188925399204,0.21603502728550328,0.37459804561277454
371,7,Expo-Fair,0.0,0.22227851747577912,0.0
372,8,Expo-Fair,0.0017820307174025369,0.22049648675837658,0.05702498295688118
373,9,Expo-Fair,0.0012376337747700267,0.2210408837010091,0.039604280792640854
374,10,Expo-Fair,1.7970367518175184e-06,0.22773941917415066,5.750517605816059e-05
375,11,Expo-Fair,1.7956597729359422e-06,0.22773942055112956,5.746111273395015e-05
376,12,Expo-Fair,0.034827091526354825,0.19291412468454766,1.1144669288433544
377,13,Expo-Fair,0.018405182361731047,0.20387333511404807,0.5889658355753935
378,14,Expo-Fair,1.6381613792817981e-06,0.22773957804952322,5.242116413701754e-05
379,15,Expo-Fair,0.08546303505362818,0.1422781811572743,2.7348171217161017
380,0,NSW (1.0),3.1109406808006134e-07,0.2544491919458846,9.955010178561963e-06
381,1,NSW (1.0),0.009412328548601263,0.19277208475791405,0.3011945135552404
382,2,NSW (1.0),4.616207953476407e-06,0.25444700212122495,7.385932725562252e-05
383,3,NSW (1.0),1.3139195151447475e-06,0.25444818912043754,4.204542448463192e-05
384,4,NSW (1.0),0.009412639642669344,0.24503897868650912,0.1506022342827095
385,5,NSW (1.0),1.6331629716082445e-06,0.2544478698769811,5.2261215091463825e-05
386,6,NSW (1.0),0.021585463500293774,0.18059894980622154,0.6907348320094008
387,7,NSW (1.0),1.5791650842517494e-06,0.2544479238748684,5.053328269605598e-05
388,8,NSW (1.0),1.6736423369907793e-06,0.2544478293976157,5.355655478370494e-05
389,9,NSW (1.0),1.750726305151592e-06,0.2544477523136475,5.6023241764850946e-05
390,10,NSW (1.0),2.1150401038844375e-06,0.20218229826641143,6.7681283324302e-05
391,11,NSW (1.0),2.1152892257769563e-06,0.20218229801728954,6.76892552248626e-05
392,12,NSW (1.0),0.030961016535426374,0.17122339677108894,0.990752529133644
393,13,NSW (1.0),7.531979360828886e-07,0.2544487498420166,2.4102333954652435e-05
394,14,NSW (1.0),2.150630059748784e-06,0.20218226267645556,6.882016191196109e-05
395,15,NSW (1.0),0.07587716483560107,0.12630724847091424,2.4280692747392343
396,0,NSW (0.0),0.11201066627363582,0.0,3.584341320756346
397,1,NSW (0.0),0.0,0.14335489734142015,0.0
398,2,NSW (0.0),4.1625963148729346e-05,0.14333498446609952,0.0006660154103796695
399,3,NSW (0.0),1.991205043958464e-05,0.11199075422319624,0.0006371856140667085
400,4,NSW (0.0),0.11201066627363582,0.03136594415561242,1.792170660378173
401,5,NSW (0.0),2.1962664601510548e-05,0.1119887036090343,0.0007028052672483375
402,6,NSW (0.0),0.051060255740429786,0.09229464160099037,1.6339281836937531
403,7,NSW (0.0),2.16121492862826e-05,0.11198905412434954,0.0006915887771610432
404,8,NSW (0.0),2.1713087828084622e-05,0.11198895318580773,0.0006948188104987079
405,9,NSW (0.0),2.270915464686799e-05,0.11198795711898894,0.0007266929486997757
406,10,NSW (0.0),1.3859408524692484e-05,0.14334103793289546,0.0004435010727901595
407,11,NSW (0.0),1.3862641676177722e-05,0.14334103469974396,0.0004436045336376871
408,12,NSW (0.0),0.050863697243772495,0.09249120009764766,1.6276383118007198
409,13,NSW (0.0),1.6862511629480914e-05,0.11199380376200634,0.0005396003721433892
410,14,NSW (0.0),1.4615675837560986e-05,0.1433402816655826,0.00046770162680195154
411,15,NSW (0.0),0.05062139489739694,0.0927335024440232,1.6198846367167021
412,0,Max,0.0,0.5,0.0
413,1,Max,0.0,0.5,0.0
414,2,Max,0.0,0.5,0.0
415,3,Max,0.0,0.5,0.0
416,4,Max,0.0,0.5,0.0
417,5,Max,0.0,0.5,0.0
418,6,Max,0.5,0.0,26.0
419,7,Max,0.0,0.5,0.0
420,8,Max,0.0,0.5,0.0
421,9,Max,0.0,0.5,0.0
422,10,Max,0.0,0.5,0.0
423,11,Max,0.0,0.5,0.0
424,12,Max,0.0,0.5,0.0
425,13,Max,0.0,0.5,0.0
426,14,Max,0.0,0.5,0.0
427,15,Max,0.0,0.5,0.0
428,16,Max,0.5,0.0,26.0
429,17,Max,0.0,0.5,0.0
430,18,Max,0.0,0.5,0.0
431,19,Max,0.0,0.5,0.0
432,20,Max,0.0,0.5,0.0
433,21,Max,0.0,0.5,0.0
434,22,Max,0.0,0.5,0.0
435,23,Max,0.0,0.5,0.0
436,24,Max,0.0,0.5,0.0
437,25,Max,0.0,0.5,0.0
438,0,Expo-Fair,6.133952682126055e-06,0.1604692784417908,0.0003189655394705548
439,1,Expo-Fair,0.0007157473868441824,0.15975966500762873,0.03721886411589748
440,2,Expo-Fair,0.0034891510906895533,0.15698626130378335,0.18143585671585677
441,3,Expo-Fair,0.0,0.08154809703215977,0.0
442,4,Expo-Fair,7.783734010881956e-05,0.16039757505436408,0.004047541685658617
443,5,Expo-Fair,0.0,0.08154809703215977,0.0
444,6,Expo-Fair,0.08114436509442574,0.07933104730004717,4.219506984910138
445,7,Expo-Fair,2.9861402967814305e-07,0.16047511378044324,1.552792954326344e-05
446,8,Expo-Fair,0.05819401123461845,0.023354085797541328,3.026088584200159
447,9,Expo-Fair,0.002189095560729334,0.15828631683374358,0.11383296915792536
448,10,Expo-Fair,0.0,0.08154809703215977,0.0
449,11,Expo-Fair,0.04260210250389614,0.11787330989057676,2.2153093302025995
450,12,Expo-Fair,0.0551286535026285,0.026419443529531274,2.866689982136682
451,13,Expo-Fair,0.0,0.08154809703215977,0.0
452,14,Expo-Fair,6.935581736018697e-07,0.1604747188362993,3.606502502729722e-05
453,15,Expo-Fair,0.0,0.08154809703215977,0.0
454,16,Expo-Fair,0.08154809703215977,0.0,4.240501045672308
455,17,Expo-Fair,0.07563969191209378,0.00590840512006599,3.9332639794288764
456,18,Expo-Fair,0.00013994476983620994,0.1603354676246367,0.007277128031482917
457,19,Expo-Fair,3.406578409924009e-07,0.16047507173663192,1.7714207731604843e-05
458,20,Expo-Fair,0.0,0.08154809703215977,0.0
459,21,Expo-Fair,5.085061138727367e-06,0.08154301197102105,0.00026442317921382305
460,22,Expo-Fair,3.4739770848365655e-07,0.16047506499676442,1.806468084115014e-05
461,23,Expo-Fair,1.3143477452294669e-06,0.1604740980467277,6.834608275193227e-05
462,24,Expo-Fair,0.0007287882983053462,0.15974662409616758,0.037896991511878
463,25,Expo-Fair,0.04080654029310526,0.04074155673905452,2.1219400952414733
464,0,NSW (1.0),0.00010359232727296979,0.16641966446294662,0.005386801018194429
465,1,NSW (1.0),0.0001060437897625097,0.1664172130004571,0.005514277067650505
466,2,NSW (1.0),0.0001039998382504155,0.16641925695196919,0.005407991589021606
467,3,NSW (1.0),0.00012003804720757496,0.07876523637043627,0.0062419784547938974
468,4,NSW (1.0),0.00010365600193847599,0.1664196007882811,0.005390112100800751
469,5,NSW (1.0),0.00011119014392615876,0.07877408427371768,0.005781887484160256
470,6,NSW (1.0),0.08422549131615173,0.08229776547406786,4.37972554843989
471,7,NSW (1.0),0.0001035854078577065,0.16641967138236188,0.005386441208600738
472,8,NSW (1.0),0.056364849361294087,0.022520425056349755,2.9309721667872926
473,9,NSW (1.0),0.00011922430083582604,0.16640403248938376,0.006199663643462954
474,10,NSW (1.0),4.2249783385271495e-06,0.07888104943930531,0.00021969887360341175
475,11,NSW (1.0),0.044386775665399586,0.12213648112482,2.308112334600778
476,12,NSW (1.0),0.05341352261684038,0.02547175180080346,2.7775031760756996
477,13,NSW (1.0),0.00011064330868347749,0.07877463110896037,0.005753452051540829
478,14,NSW (1.0),0.0001035862733472686,0.16641967051687231,0.005386486214057967
479,15,NSW (1.0),0.00010112112706197846,0.07878415329058186,0.005258298607222879
480,16,NSW (1.0),0.07888527441764384,0.0,4.102034269717479
481,17,NSW (1.0),0.07318383942415956,0.005701434993484286,3.8055596500562965
482,18,NSW (1.0),0.00010378789596302294,0.16641946889425657,0.005396970590077193
483,19,NSW (1.0),0.00010347555171713446,0.16641978123850246,0.005380728689290991
484,20,NSW (1.0),0.00010956531212617557,0.07877570910551766,0.00569739623056113
485,21,NSW (1.0),0.00011117838104204995,0.07877409603660179,0.005781275814186597
486,22,NSW (1.0),0.00010279456701225299,0.16642046222320733,0.0053453174846371555
487,23,NSW (1.0),0.00010358627308452723,0.16641967051713508,0.005386486200395416
488,24,NSW (1.0),0.000106464680620635,0.16641679210959895,0.00553616339227302
489,25,NSW (1.0),0.052863058017570366,0.026022216400073475,2.748879016913659
490,0,NSW (0.0),2.0990589611244262e-05,0.14188001588175037,0.0010915106597847017
491,1,NSW (0.0),0.1419010064713616,0.0,7.378852336510803
